vehiculo_marca;vehiculo_modelo;vehiculo_traccion;vehiculo_id;vehiculo_cilindrada;vehiculo_potencia;vehiculo_tipo_transmision;vehiculo_tipo_combustible;vehiculo_standard_emision;lca_numero;fecha_firma;ensayo_gei_numero;ensayo_gei_laboratorio;emision_CO2;consumo_urbano;consumo_extraurbano;consumo_mixto;id_etiqueta
AUDI;RURAL 4 PUERTAS CON PORTÓN TRASERO, COUPÉ CONVERTIBLE 2 PUERTAS;4x4;AUDI DDWB / VALEO IST60S;1984;183;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;809;25/1/2021;AUA6020A;ATE-EL LUXEMBOURG;163;8.9;6.1;7.1;000689D
AUDI;HATCHBACK 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI DDWB / VALEO IST60S;1984;183;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;809;25/1/2021;AUA6020A;ATE-EL LUXEMBOURG;169;9.1;6.1;7.4;000690D
AUDI;CROSSOVER;4x4;AUDI DGKB / VALEO IST60S;1984;183;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;883;18/6/2021;AUA6194B;ATE-EL LUXEMBOURG;183;9.7;7;8;000766D
AUDI;HATCHBACK 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI DGKB / VALEO IST60S;1984;183;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;883;18/6/2021;AUA6194B;ATE-EL LUXEMBOURG;182;9.7;7;8;000767D
AUDI;SUV 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DJKA;1395;110;AUTOMÁTICA;NAFTA;EURO VI;884;18/6/2021;AUA6303A;ATE - EL;140;7.5;5.3;6.1;000768D
AUDI;HATCHBACK 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI DHUB / CONTINENTAL BSG-HP1-65;3996;441;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;890;18/7/2021;AUA6076A;ATE - EL;283;16.9;9.3;12.1;000774D
AUDI;HATCHBACK 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI CZPC;1984;147;AUTOMÁTICA;NAFTA;EURO VI;895;26/7/2021;AUA5888B;ATE EL;143;8;5.3;6.3;000778D
AUDI;SEDÁN 4 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;131;7.3;4.9;5.8;000077A
AUDI;RURAL 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;136;7.4;5.1;6.0;000078A
AUDI;SEDÁN 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;132;7.2;4.9;5.7;000079A
